designation	annee	kilometrage	prix
Volkswagen golf 5 break 1.9 tdi confortline 105 cv	2010	1	20000
Golf iv tdi 110cv 1.9 tdi 105 000km	2002	100000	6590
Golf 5 TDI 105 Goal	2006	70000	13900
Golf iv tdi 110cv 1.9 tdi 105 000km	2002	100000	6590
Volkswagen golf 5 2.0 tdi 140 sport	2004	165800	8500
Volkswagen golf 5 2.0 tdi 140 sport	2004	165800	8500
Golf 5 tdi confortline 2008	2008	46000	16000
Volkswagen Golf Plus 2.0L TDI - 04/09 - 7240km	2009	7240	21300
Volkswagen Golf Plus 2.0L TDI - 04/09 - 7240km	2009	7240	21300
Golf VI TDI 110 FAP Carat Pack Hiver : TARIF -15%	2009	10	22990
Golf 6 cofort 2.0tdi 110 cv 01/2009 pdc av+ar+clim	2009	19757	18990
Golf V GT TDI 170cv	2007	45000	17900
Golf V 2.0 TDI 140 cv Sport	2005	80000	12700
Golf 4 iv 1.9tdi 90cv (echange possible)	1998	145000	6000
Golf 4 2003 match 2 nickel	2003	210000	7500
Volkswagen Jetta 1.9 TDI Comfortline Alu/	2008	31000	14990
Volkswagen Jetta TDI 136cv	2006	111500	11500
T 5 multivan 174cv haut de gamme	2003	195860	19600
NEW BEETLE - 1.9 TDI 90 - modele 2000	1999	205000	5900
Volkswagen New Beetle 2.0i HIGHLINE 115CH 73 700KM	2000	73700	8290
Volkswagen New Beetle 2.0i HIGHLINE 115CH 73 700KM	2000	73700	8290
VW New Beetle 1.9TDI / Noire / Pack Sunsea / 105ch	2007	50560	13000
MITSUBISHI OUTLANDER ETAT NEUF et GARANTIE	2008	59500	20500
Volkswagen Passat CC 2.0 TDI Sportline&virgule	2009	28000	24990
Volkswagen Passat CC 2.0 TDI Sportline	2009	28000	24990
VW PASSAT VI TDI 140 BV6 Cft. 1ere MAIN+carnet VW	2005	137000	9990
VOLKSWAGEN PASSAT 2.0 TDI 140ch CONFORTLINE	2009	12500	19490
Volkswagen Passat 1.9 TDI 130 ch	2001	210000	5700
Volkswagen Passat 1.9 TDI 130 ch	2001	210000	5700
Volkswagen Passat 1.9 TDI 130 ch	2001	210000	5700
Volkswagen passat 2.0 tdi comfortline 140 cv	2009	1	22700
Volkswagen Passat 1.9 tdi 105 cv bvm5 confortline	2008	40105	15990
Vw passat 2.0 tdi 140ch confortline	2006	123000	13300
Vw passat 2.0 tdi 140ch confortline	2006	123000	13300
Passat Carat TDI 140	2007	48058	18800
Passat Carat TDI 140	2007	48058	18800
Volkswagen passat break tdi carat diesel	2006	57000	19890
Volkswagen passat business line 2 - tdi 130 ch	2004	168000	7600
VOLKSWAGEN PASSAT TDI 105ch CONFORTLINE	2009	22000	18990
Passat III 2.0 tdi confort - 2006	2006	79000	12200
POLO SPORT 1.9TDI 100CH&virgule	2007	60000	11900
POLO SPORT 1.9TDI 100CH&virgule	2007	60000	11900
Cross polo 1.9l TDI 100 ch	2006	69000	12250
Scirocco sportline 2.0 TDI 140 ch	2009	6500	24000
Volkswagen Scirocco 2.0L TDI 140ch - 04/2009	2009	27500	22800
Volkswagen Scirocco 2.0L TDI 140ch - 04/2009	2009	27500	22800
VW Scirocco 2.0 TSI DSG Blanc	2008	9000	25000
VW SCIROCCO 2.0 PACK SPORT 200 Cv 2009	2009	25900	22500
VW Scirocco 2&virgule	2009	8400	28200
Volkswagen Sharan 1.9 TDi 110CV 7 places	2000	215742	5500
Volkswagen tiguan r-line blanc tdi 140	2009	11000	36000
Volkswagen tiguan r-line blanc tdi 140	2009	11000	36000
Tiguan carat 2.0 tdi 170 ch	2008	65000	26900
Volkswagen Touran - 1.9 tdi 105 match 7pl	2006	79300	15000
Volkswagen touran tdi match	2006	101200	13990
Volkswagen Touran	2005	53000	12500
Volkswagen Touran	2005	53000	12500
Volkswagen touran 1.9 tdi 105 ch carrat	2005	155000	9900
Volkswagen touran 1.9 tdi 105 ch carrat	2005	155000	9900
VOLKSWAGEN TOURAN 2.0 tdi 140 cv bvm6 CONFORT	2004	141505	9550
VOLKSWAGEN TOURAN 2.0 tdi 140 cv bvm6 CONFORT	2004	141505	9550
Touran 1.9 tdi 105 cv	2003	142000	12600
Touran 2.0 tdi 140 cv boite dsg	2005	94000	11500
Touran TDI 140 CV - DSG - SPORT 7 pl. Pack Hiver	2005	145000	12000
TOURAN SPORT TDI 140ch 7 places	2008	47500	23000
Touran dsg 2.0 tdi 140	2007	127600	13500
Volkswagen Jetta TDI 136cv	2006	111500	11500
Volkswagen jetta 2.0 tdi comfortline 140cv bva	2009	1	23800
Volvo c30 2.0 d 136cv momentum	2007	50500	15990
VOLVO C70 CC 2.0d 136 ch premium edition	2009	2500	28990
Volvo s40	2001	147000	7000
Volvo s40	2001	147000	7000
Volvo S40 2.0 turbo 1998	1998	220000	2200
Volvo S60 2.4 D Momentum &virgule	2007	39050	15700
VOLVO V40 SUMMUN :1&virgule	1999	200000	5300
